CODE;TYPE;DESCRIPTION
"EF024511";"Numeric";"Nominal duct diameter, delivery side"
"EF024512";"Numeric";"Nominal duct width, delivery side"
"EF024513";"Numeric";"Nominal duct height, delivery side"
"EF024514";"Numeric";"Acoustic capacity at 63 Hz"
"EF024515";"Numeric";"Acoustic capacity at 125 Hz"
"EF024516";"Numeric";"Acoustic capacity at 250 Hz"
"EF024517";"Numeric";"Acoustic capacity at 500 Hz"
"EF024518";"Numeric";"Acoustic capacity at 1000 Hz"
"EF024519";"Numeric";"Acoustic capacity at 2000 Hz"
"EF024520";"Numeric";"Acoustic capacity at 4000 Hz"
"EF024521";"Numeric";"Acoustic capacity at 8000 Hz"
"EF024522";"Alphanumeric";"Impeller model"
"EF024523";"Alphanumeric";"Shelf design"
"EF024524";"Logical";"With roll/guest towel holder"
"EF024526";"Logical";"With toilet roll holder"
"EF024527";"Alphanumeric";"Brush colour"
"EF024529";"Numeric";"Brush diameter"
"EF024530";"Range";"Suitable for glass thickness"
"EF024531";"Numeric";"Number of flannels"
"EF024532";"Alphanumeric";"Recess design"
"EF024533";"Numeric";"Number of openings for toothbrush"
"EF024534";"Numeric";"Number of openings for soap pump"
"EF024535";"Numeric";"Number of openings for glass"
"EF024537";"Alphanumeric";"Surface protection pump"
"EF024538";"Alphanumeric";"Glass/plastic design"
"EF024541";"Logical";"Detachable"
"EF024543";"Alphanumeric";"Outside bend model"
"EF024544";"Alphanumeric";"Inside bend model"
"EF024545";"Logical";"Air guide vanes"
"EF024551";"Logical";"With braiding"
"EF024552";"Alphanumeric";"Colour of slide rod"
"EF024553";"Alphanumeric";"Colour of wall holder"
"EF024554";"Logical";"With conical holder"
"EF024555";"Logical";"With hinge piece"
"EF024557";"Numeric";"Impeller diameter"
"EF024558";"Numeric";"Duct width, suction"
"EF024559";"Numeric";"Duct height, suction"
"EF024560";"Numeric";"Duct diameter, suction"
"EF024561";"Numeric";"Duct diameter, exhaust"
"EF024563";"Numeric";"Duct width, exhaust"
"EF024564";"Numeric";"Duct height, exhaust"
"EF024565";"Logical";"With setting control"
"EF024567";"Alphanumeric";"Duct side 1 (largest side)"
"EF024568";"Alphanumeric";"Duct side 2"
"EF024569";"Alphanumeric";"Offset model (duct width horizontal)"
"EF024570";"Alphanumeric";"Bend model (duct width horizontal)"
"EF024580";"Logical";"With pre-mounted seal, connection 2"
"EF024581";"Alphanumeric";"Surface protection immersion pipe"
"EF024582";"Alphanumeric";"Surface protection, fork"
"EF024583";"Logical";"With push-on profile"
"EF024584";"Logical";"With push-on clamp"
"EF024591";"Logical";"Rounding with radius"
"EF024592";"Alphanumeric";"Quality class duct material"
"EF024594";"Numeric";"Interior inner diameter"
"EF024595";"Logical";"With exterior spiral"
"EF024596";"Logical";"Outside hose with spiral"
"EF024597";"Logical";"Compressed"
"EF024598";"Numeric";"Inside hose wall thickness"
"EF024599";"Alphanumeric";"Material of 1st later, inner layer"
"EF024600";"Alphanumeric";"Material of 2nd layer"
"EF024601";"Alphanumeric";"Material of 3rd layer"
"EF024602";"Logical";"Folded"
"EF024605";"Numeric";"Heat emission according to EN 442 20 °C - 75/65"
"EF024606";"Numeric";"N-exponent"
"EF024607";"Logical";"With side lining"
"EF024610";"Logical";"Connection combi 67, side top-right/side bottom-right"
"EF024611";"Logical";"Connection combi 37, side top-left/side bottom-right"
"EF024612";"Logical";"Connection combi 62, side top-right/side bottom-left"
"EF024613";"Logical";"Connection combi MB, top-centre/top-centre"
"EF024614";"Logical";"Connection combi MO, bottom-centre/bottom-centre"
"EF024615";"Logical";"Connection combi 11, underside left/underside left"
"EF024616";"Logical";"Connection combi 88, underside right/underside right"
"EF024617";"Logical";"Connection combi 32, side top-left/side bottom-left"
"EF024618";"Logical";"Connection combi 68, side top-ride/underside right"
"EF024619";"Logical";"With single-point connection"
"EF024624";"Alphanumeric";"Number of standard connections"
"EF024625";"Logical";"Connection combi 18, underside left/underside right"
"EF024626";"Logical";"Connection combi 81, underside right/underside left"
"EF024627";"Logical";"Connection combi 38, side top-left/underside right"
"EF024628";"Logical";"Connection combi 45, top-left/top-right"
"EF024629";"Logical";"Connection combi 54, top-right/top-left"
"EF024630";"Logical";"Connection combi 41, top-left/underside left"
"EF024631";"Logical";"Connection combi 58, top-right/underside right"
"EF024632";"Logical";"Connection combi 48, top-left/underside right"
"EF024633";"Logical";"Connection combi 51, top-right/underside left"
"EF024634";"Logical";"With integrated thermostatic valve"
"EF024635";"Logical";"With wall brackets"
"EF024636";"Logical";"With blind stops"
"EF024637";"Alphanumeric";"Shape of radiation tube"
"EF024638";"Range";"Depth from wall to front side"
"EF024639";"Logical";"With top cladding"
"EF024640";"Alphanumeric";"Shape of collector"
"EF024641";"Alphanumeric";"Radiant tube"
"EF024643";"Alphanumeric";"Radiator design"
"EF024648";"Alphanumeric";"Anchor model"
"EF024649";"Logical";"Heat emission according to EN 442 laboratory"
"EF024653";"Logical";"Connection combi 22, side bottom-left/side bottom-left"
"EF024654";"Logical";"Connection combi 77, side bottom-right/side bottom-right"
"EF024655";"Logical";"Connection combi 78, side bottom-right/underside right"
"EF024656";"Logical";"Connection combi 21, side bottom-left/underside left"
"EF024657";"Alphanumeric";"Air inlet"
"EF024658";"Alphanumeric";"Air exhaust"
"EF024659";"Range";"Base height"
"EF024660";"Logical";"Base colour same as housing"
"EF024662";"Logical";"With console"
"EF024664";"Numeric";"Height, bracket/separating partition"
"EF024665";"Numeric";"Shaft height above convector"
"EF024666";"Numeric";"Height, convector element"
"EF024668";"Logical";"Connection combi 23, side bottom-left/side top-left"
"EF024669";"Logical";"Connection combi 17, underside left/side bottom-right"
"EF024670";"Logical";"Connection combi 13, underside left/side top-left"
"EF024671";"Logical";"Connection combi 28, side bottom-left/underside right"
"EF024672";"Logical";"Connection combi 27, side bottom-left/side bottom-right"
"EF024673";"Logical";"Connection combi 36, side top-left/side top-right"
"EF024674";"Logical";"Suitable for electrical element"
"EF024675";"Logical";"With electrical element"
"EF024676";"Logical";"With mirror"
"EF024677";"Logical";"With consoles"
"EF024678";"Alphanumeric";"Material, grid frame"
"EF024679";"Numeric";"Outer length"
"EF024680";"Numeric";"Outer width"
"EF024681";"Numeric";"Outer depth"
"EF024682";"Alphanumeric";"Surface protection grid"
"EF024683";"Alphanumeric";"Grid colour"
"EF024684";"Alphanumeric";"Grid wood type"
"EF024685";"Alphanumeric";"Grid model"
"EF024686";"Alphanumeric";"Heat exchanger position"
"EF024687";"Logical";"Watertight pit"
"EF024688";"Logical";"Connection combi 33, side top-left/side top-left"
"EF024689";"Logical";"Connection combi 66, side top-right/side top-right"
"EF024690";"Logical";"With connection pipes"
"EF024691";"Alphanumeric";"Material division plate"
"EF024696";"Logical";"Suitable for damp space"
"EF024697";"Alphanumeric";"Frame material quality class"
"EF024698";"Alphanumeric";"Surface protection frame"
"EF024699";"Alphanumeric";"Surface treatment frame material"
"EF024700";"Alphanumeric";"Material seat"
"EF024701";"Alphanumeric";"Seat colour"
"EF024702";"Alphanumeric";"Seat material quality class"
"EF024703";"Alphanumeric";"Surface protection seat material"
"EF024704";"Alphanumeric";"Surface treatment seat material"
"EF024705";"Numeric";"Seat width"
"EF024706";"Numeric";"Seat height"
"EF024707";"Alphanumeric";"Type of coating"
"EF024708";"Logical";"Arm supports"
"EF024709";"Numeric";"Height adjustment range"
"EF024710";"Logical";"Adjustable backrest"
"EF024711";"Logical";"With transfer rail"
"EF024712";"Logical";"Adjustable when loaded"
"EF024713";"Logical";"Lockable in vertical position"
"EF024714";"Logical";"Can be turned to one side"
"EF024715";"Logical";"With floor tripod"
"EF024717";"Alphanumeric";"Material wall attachment"
"EF024718";"Numeric";"Max. static load"
"EF024719";"Logical";"Seat equipped with holes"
"EF024720";"Logical";"Slatted seat"
"EF024721";"Alphanumeric";"Lying surface colour"
"EF024722";"Alphanumeric";"Material lying surface"
"EF024723";"Alphanumeric";"Lying surface material quality class"
"EF024724";"Numeric";"Number of side fences"
"EF024725";"Logical";"Covered lying surface"
"EF024726";"Logical";"Lying surface equipped with holes"
"EF024727";"Logical";"Fold-down side fences"
"EF024728";"Logical";"With collection tray"
"EF024729";"Logical";"Removable side fences"
"EF024730";"Logical";"With mattress"
"EF024731";"Logical";"With cushions"
"EF024732";"Numeric";"Length of part 1 (largest part)"
"EF024733";"Numeric";"Length of part 2"
"EF024734";"Numeric";"Length of part 3 (vertical part)"
"EF024736";"Logical";"With shower head holder"
"EF024737";"Logical";"With slider rail combination"
"EF024739";"Range";"Sound pressure level at height of 5 metres"
"EF024740";"Logical";"Adjustable induction in exhaust air"
"EF024741";"Logical";"Adjustable fins on exhaust side"
"EF024742";"Logical";"Free-exhausting"
"EF024746";"Logical";"Console suitable for wall"
"EF024747";"Logical";"Console suitable for ceiling"
"EF024748";"Logical";"Console suitable for steel column"
"EF024752";"Alphanumeric";"Module"
"EF024753";"Logical";"With glue set"
"EF024754";"Numeric";"Seat depth"
"EF024755";"Logical";"Variable lockable swivel arm"
"EF024756";"Logical";"Depth of pull handle adjustable"
"EF024757";"Range";"Suitable for bath inside dimension"
"EF024759";"Alphanumeric";"Handrail colour"
"EF024760";"Alphanumeric";"Material handrail"
"EF024761";"Alphanumeric";"Handrail material quality class"
"EF024762";"Logical";"Usable with built-in reservoir"
"EF024763";"Logical";"With hot-water facility"
"EF024764";"Logical";"Air temperature adjustable"
"EF024765";"Logical";"Suitable for back control"
"EF024766";"Logical";"Vaginal douche function"
"EF024767";"Logical";"Suitable for high/low frame"
"EF024768";"Logical";"With mixing tap"
"EF024769";"Logical";"Extendible hand shower"
"EF024770";"Logical";"With scissor mirror"
"EF024771";"Logical";"Suitable for standard seat"
"EF024772";"Logical";"Soft seat"
"EF024773";"Logical";"Vandalism-proof attachment"
"EF024774";"Logical";"Anatomically-shaped seat"
"EF024775";"Alphanumeric";"Back rest colour"
"EF024776";"Alphanumeric";"Material back rest"
"EF024777";"Alphanumeric";"Back rest material quality class"
"EF024778";"Logical";"With foot supports"
"EF024779";"Logical";"Adjustable foot supports"
"EF024780";"Logical";"Foldable seat"
"EF024781";"Logical";"Rail for bed pan and/or slop pail"
"EF024782";"Logical";"Including lap belt"
"EF024783";"Logical";"Including calf strap"
"EF024784";"Logical";"Toilet override"
"EF024786";"Numeric";"Number of wall attachment points"
"EF024787";"Numeric";"Number of floor attachment points"
"EF024788";"Alphanumeric";"Type of adjustment"
"EF024789";"Alphanumeric";"Type of electrical operation"
"EF024790";"Range";"Depth adjustment range"
"EF024791";"Logical";"With washbasin"
"EF024792";"Logical";"With shelf"
"EF024793";"Logical";"With flexible inlet and outlet set"
"EF024794";"Logical";"Suitable for standard washbasin"
"EF024797";"Logical";"Suitable for heating"
"EF024798";"Logical";"Suitable for cooling"
"EF024799";"Logical";"With separate batteries"
"EF024803";"Numeric";"Heat emission 20 °C - 90/70 high"
"EF024804";"Numeric";"Heat emission 20 °C - 90/70 medium"
"EF024805";"Numeric";"Heat emission 20 °C - 90/70 low"
"EF024806";"Numeric";"Cooling capacity 25 °C - 6/12 perceived high"
"EF024807";"Numeric";"Cooling capacity 25 °C - 6/12 perceived medium"
"EF024808";"Numeric";"Cooling capacity 25 °C - 6/12 perceived low"
"EF024809";"Numeric";"Air volume high"
"EF024810";"Numeric";"Air volume medium"
"EF024811";"Numeric";"Air volume low"
"EF024812";"Numeric";"Sound pressure level high"
"EF024813";"Numeric";"Sound pressure level medium"
"EF024814";"Numeric";"Sound pressure level low"
"EF024815";"Logical";"With electric heating element"
"EF024816";"Logical";"With drip-tray"
"EF024817";"Logical";"With built-in position controller"
"EF024818";"Numeric";"Suitable for cabinet depth/height"
"EF024822";"Logical";"Built-in depth adjustable"
"EF024823";"Numeric";"RAL-number grid"
"EF024824";"Alphanumeric";"Encasing material"
"EF024826";"Numeric";"Bath length"
"EF024827";"Numeric";"Bath width"
"EF024828";"Numeric";"Bath height"
"EF024829";"Numeric";"Casing length"
"EF024830";"Numeric";"Casing width"
"EF024831";"Numeric";"Casing height"
"EF024832";"Logical";"With handles"
"EF024833";"Logical";"With whirlpool"
"EF024835";"Logical";"Emergency stop button"
"EF024836";"Logical";"Automatic temperature controller"
"EF024837";"Logical";"Automatic water level limiter"
"EF024838";"Logical";"With folding shower window"
"EF024839";"Logical";"Column lift"
"EF024840";"Logical";"With reducing valve"
"EF024841";"Logical";"With non-return valve"
"EF024842";"Logical";"With floor plate"
"EF024844";"Logical";"With closet"
"EF024845";"Range";"Water temperature"
"EF024846";"Logical";"Hot air temperature adjustable"
"EF024847";"Alphanumeric";"Drive mechanism"
"EF024848";"Alphanumeric";"Lining colour"
"EF024850";"Logical";"With wire baskets"
"EF024851";"Numeric";"Centre distance of mounting holes"
"EF024852";"Logical";"Suitable for seat with back rest"
"EF024853";"Alphanumeric";"Size of nut/thread ends"
"EF024854";"Numeric";"Thread ends length"
"EF024855";"Range";"Suitable for bath size"
"EF024856";"Logical";"With end caps"
"EF024862";"Logical";"Suitable for seat without back rest"
"EF024863";"Alphanumeric";"Access"
"EF024864";"Alphanumeric";"Material sides"
"EF024865";"Alphanumeric";"Profile colour"
"EF024866";"Numeric";"Outside dimension 1 (largest dimension)"
"EF024867";"Numeric";"Outside dimension 2"
"EF024869";"Alphanumeric";"System colour"
"EF024870";"Logical";"With shower-toilet"
"EF024871";"Logical";"With alarm control"
"EF024872";"Logical";"Suitable for extended wall-hung WC pan"
"EF024873";"Numeric";"Max. static load (at water pressure of 2 bars)"
"EF024874";"Logical";"Straight wall"
"EF024875";"Alphanumeric";"Material cabin"
"EF024876";"Alphanumeric";"Profile gloss"
"EF024877";"Alphanumeric";"Tap"
"EF024878";"Logical";"With steam"
"EF024879";"Logical";"With infrared"
"EF024880";"Logical";"With light therapy"
"EF024881";"Logical";"With aroma therapy"
"EF024882";"Logical";"With radio"
"EF024883";"Logical";"With jets"
"EF024884";"Logical";"With solarium"
"EF024885";"Logical";"With head shower"
"EF024886";"Logical";"With seats"
"EF024887";"Numeric";"Number of seats"
"EF024888";"Range";"Built-in width of door for mounting in niche"
"EF024889";"Range";"Built-in width of door for mounting in line"
"EF024890";"Range";"Built-in width of door for mounting with side wall"
"EF024891";"Range";"Built-in length of door for corner entry"
"EF024892";"Range";"Built-in width of door for U mounting"
"EF024893";"Alphanumeric";"Material door"
"EF024894";"Logical";"Anti lime scale treatment"
"EF024895";"Logical";"Glass/plastic decor"
"EF024896";"Logical";"Standard colour"
"EF024897";"Alphanumeric";"Degree of gloss"
"EF024903";"Logical";"With cabinet"
"EF024906";"Numeric";"Rosette length"
"EF024907";"Numeric";"Rosette width"
"EF024908";"Alphanumeric";"Tube diameter in inches"
"EF024909";"Alphanumeric";"Material compression ring"
"EF024911";"Alphanumeric";"Thread size nut"
"EF024918";"Alphanumeric";"Angle of connection 3 (branch angle)"
"EF024919";"Logical";"Pressure-compensating"
"EF024920";"Numeric";"Sensor detection range"
"EF024921";"Logical";"Automatic cycle flushing"
"EF024922";"Range";"Frequency of cycle flushing"
"EF024923";"Alphanumeric";"Cleanliness"
"EF024928";"Alphanumeric";"End fastening"
"EF024929";"Numeric";"Cable diameter"
"EF024930";"Alphanumeric";"Cable material"
"EF024932";"Alphanumeric";"Material locking device/tensioner"
"EF024938";"Numeric";"Time constant"
"EF024939";"Alphanumeric";"Accessories/spare parts for cable temperature sensor"
"EF024940";"Alphanumeric";"Accessories/spare parts for pressure sensor"
"EF024941";"Alphanumeric";"Accessories/spare parts for pressure difference sensor"
"EF024942";"Alphanumeric";"Model (indoor unit)"
"EF024943";"Logical";"Condensing unit, water-cooled"
"EF024944";"Logical";"Inverter-controlled"
"EF024945";"Alphanumeric";"Type of refrigerant"
"EF024946";"Numeric";"Connection voltage (system)"
"EF024947";"Numeric";"Fuse (slow)"
"EF024948";"Range";"Cooling input power"
"EF024949";"Range";"Cooling capacity"
"EF024950";"Range";"Heating input power"
"EF024952";"Numeric";"EER (cooling)"
"EF024954";"Numeric";"COP (heating)"
"EF024955";"Alphanumeric";"Energy efficiency class cooling"
"EF024956";"Alphanumeric";"Energy efficiency class heating"
"EF024958";"Alphanumeric";"Colour indoor unit"
"EF024959";"Range";"Cooling air flow rate"
"EF024960";"Range";"Heating air flow rate"
"EF024961";"Range";"Inside unit sound pressure level for cooling"
"EF024962";"Range";"Inside unit sound pressure level for heating"
"EF024963";"Range";"Inside unit acoustic capacity level"
"EF024964";"Range";"Outdoor unit sound pressure level for cooling"
"EF024965";"Range";"Outdoor unit sound pressure level for heating"
"EF024966";"Range";"Outdoor unit acoustic capacity level"
"EF024967";"Alphanumeric";"Nominal diameter fluid pipe"
"EF024968";"Numeric";"Outer pipe diameter of fluid pipe"
"EF024969";"Numeric";"Outer pipe diameter condensate drain"
"EF024970";"Range";"Operating temperature for cooling (Dry Bulb)"
"EF024972";"Range";"Operating temperature for heating (Wet Bulb)"
"EF024973";"Numeric";"Min. pipe length"
"EF024974";"Numeric";"Max. pipe length"
"EF024975";"Numeric";"Max. height difference"
"EF024976";"Logical";"With air cleaning filter"
"EF024977";"Logical";"With odour filter"
"EF024978";"Logical";"With clock programme/timer"
"EF024979";"Alphanumeric";"Expansion type"
"EF024980";"Logical";"With pipe set"
"EF024981";"Logical";"Pipe set with rapid couplings"
"EF024982";"Numeric";"Length of pipe set"
"EF024983";"Logical";"Indoor unit with outside air connection"
"EF024984";"Numeric";"Number of cooling circuits (compressors)"
"EF024985";"Numeric";"Total number of indoor units"
"EF024986";"Range";"Total cooling capacity"
"EF024987";"Numeric";"Min. pipe length per circuit"
"EF024988";"Numeric";"Max. pipe length per circuit"
"EF024989";"Numeric";"Max. total pipe length"
"EF024990";"Logical";"VRF model"
"EF024991";"Numeric";"Suitable for number of indoor units"
"EF024992";"Logical";"VRF model (2-pipe)"
"EF024993";"Logical";"VRF model (3-pipe)"
"EF024994";"Range";"Total heating capacity"
"EF024995";"Logical";"With water control valve"
"EF024996";"Range";"Operating range of water temperature for cooling"
"EF024997";"Range";"Operating range of water temperature for heating"
"EF024998";"Range";"Water flow rate"
"EF024999";"Numeric";"Min. water supply pressure"
"EF025001";"Logical";"Conversion kit required"
"EF025002";"Logical";"Tiltable mirror"
"EF025003";"Logical";"Expansion with accessories possible"
"EF025004";"Numeric";"Width (top)"
"EF025005";"Numeric";"Width (bottom)"
"EF025006";"Numeric";"Reference length (ISO)"
"EF025007";"Numeric";"Effective length (RMA)"
"EF025008";"Logical";"Sheathed"
"EF025009";"Logical";"With top layer"
"EF025010";"Logical";"Statically conductive according to ISO 1813"
"EF025011";"Logical";"Shape-toothed model"
"EF025012";"Logical";"Double V-profile model"
"EF025013";"Numeric";"Min. disc diameter"
"EF025014";"Numeric";"Max. bending frequency"
"EF025015";"Numeric";"Max. belt speed"
"EF025016";"Logical";"With perforation"
"EF025017";"Numeric";"Min. air volume"
"EF025018";"Alphanumeric";"Temperature controller model"
"EF025019";"Alphanumeric";"Driving"
"EF025020";"Alphanumeric";"Reset overheating protection"
"EF025021";"Logical";"Fault monitoring"
"EF025022";"Alphanumeric";"Duct width"
"EF025023";"Alphanumeric";"Duct height"
"EF025024";"Alphanumeric";"Duct diameter"
"EF025025";"Numeric";"Nominal power at 80-60 °C, inlet 0 °C"
"EF025026";"Numeric";"Nominal power at 80-60 °C, inlet 15 °C"
"EF025027";"Numeric";"Nominal power at 60-40 °C, inlet 0 °C"
"EF025028";"Numeric";"Nominal power at 60-40 °C, inlet 15 °C"
"EF025029";"Numeric";"Nominal power at 55-45 °C, inlet 0 °C"
"EF025030";"Numeric";"Nominal power at 55-45 °C, inlet 15 °C"
"EF025032";"Range";"Water-side resistance"
"EF025033";"Alphanumeric";"Accessories/spare parts for duct heater, electric"
"EF025034";"Alphanumeric";"Accessories/spare parts for duct heater central heating"
"EF025035";"Alphanumeric";"Cooling pipe model"
"EF025036";"Range";"Sound pressure level (cooling)"
"EF025037";"Range";"Sound pressure level (heating)"
"EF025038";"Logical";"Suitable for roof fan"
"EF025039";"Logical";"Suitable for wall-mounted fan"
"EF025040";"Logical";"Suitable for box fan"
"EF025041";"Logical";"Suitable for circulation fan"
"EF025042";"Logical";"Suitable for pipe-mounted fan"
"EF025043";"Logical";"Suitable for centrifugal fan"
"EF025044";"Logical";"Suitable for built-in wall fan"
"EF025045";"Logical";"Suitable for house fan"
"EF025046";"Logical";"Suitable for heat recovery device"
"EF025047";"Range";"Exhaust temperature"
"EF025048";"Range";"Pressure loss at nominal air volume"
"EF025049";"Numeric";"Number of boiler connections"
"EF025050";"Alphanumeric";"Nominal diameter boiler connections"
"EF025051";"Alphanumeric";"Boiler connection model"
"EF025052";"Alphanumeric";"Nominal diameter installation side"
"EF025053";"Alphanumeric";"Installation side connection model"
"EF025054";"Alphanumeric";"Nominal diameter shunt pipe"
"EF025055";"Numeric";"Number of air-release connections"
"EF025056";"Alphanumeric";"Nominal diameter air-release"
"EF025057";"Logical";"Corner bath"
"EF025058";"Logical";"Semi-detached"
"EF025059";"Numeric";"Depth (internal to overflow)"
"EF025060";"Logical";"Legs adjustable"
"EF025061";"Numeric";"Bottom length (lying-length)"
"EF025062";"Logical";"Drilled hole for handle optional"
"EF025063";"Logical";"Bath panels optional"
"EF025064";"Logical";"With bath panels"
"EF025065";"Logical";"With overflow hole"
"EF025066";"Alphanumeric";"Location of drain hole"
"EF025067";"Logical";"Antislip facility optional"
"EF025068";"Logical";"With antislip facility"
"EF025069";"Logical";"Drilled tap hole optional"
"EF025070";"Logical";"With drilled tap hole"
"EF025071";"Alphanumeric";"Injection type"
"EF025073";"Logical";"With polystyrene support"
"EF025074";"Range";"Height including legs/support"
"EF025075";"Logical";"With shower base panels"
"EF025076";"Logical";"With tiled edge"
"EF025078";"Logical";"Suitable for panels"
"EF025079";"Logical";"With acoustic insulation"
"EF025081";"Alphanumeric";"Connection 2 (outlet)"
"EF025082";"Alphanumeric";"Emergency shower controls"
"EF025083";"Alphanumeric";"Eye-face shower controls"
"EF025084";"Logical";"Connection for hand shower"
"EF025085";"Logical";"Internal parts self-cleaning"
"EF025086";"Logical";"With built-in installation box"
"EF025087";"Logical";"Frost-free model"
"EF025088";"Alphanumeric";"Connection size of mixed water inlet"
"EF025089";"Logical";"Designed as a shower station"
"EF025090";"Logical";"With seat"
"EF025091";"Logical";"With side showers"
"EF025092";"Numeric";"Number of side showers"
"EF025093";"Logical";"Side showers adjustable"
"EF025094";"Numeric";"Shower hose length"
"EF025095";"Logical";"Side showers with adjustable flow"
"EF025096";"Logical";"Hand shower height-adjustable"
"EF025097";"Numeric";"Min. flow (mixed water)"
"EF025098";"Logical";"Flushing time adjustable"
"EF025099";"Range";"Flushing time"
"EF025101";"Alphanumeric";"Built-in tap model"
"EF025102";"Alphanumeric";"Programming"
"EF025103";"Logical";"With intermediate flushing"
"EF025104";"Logical";"CE mark"
"EF025105";"Numeric";"Washing-up shower overhang length"
"EF025106";"Numeric";"Suitable for cabinet width"
"EF025108";"Logical";"Suitable for floor mounting"
"EF025109";"Alphanumeric";"Surface treatment"
"EF025110";"Numeric";"Number of floors"
"EF025111";"Logical";"With stick"
"EF025112";"Alphanumeric";"Brush material"
"EF025114";"Range";"Pipe distance"
"EF025115";"Numeric";"Insert depth"
"EF025116";"Alphanumeric";"Connection inlet side"
"EF025117";"Alphanumeric";"Nominal diameter connection inlet side"
"EF025118";"Alphanumeric";"Nominal diameter connection outlet side"
"EF025120";"Logical";"Suitable for sprinkling/irrigation"
"EF025121";"Numeric";"Max. number of expansion groups"
"EF025123";"Range";"Seat height"
"EF025124";"Numeric";"Max. width toilet"
"EF025125";"Range";"Suitable for toilet height"
"EF025126";"Logical";"With top flange direct mount according to ISO 5211"
"EF025127";"Numeric";"Number of nests"
"EF025128";"Alphanumeric";"Top flange connection"
"EF025129";"Alphanumeric";"Mounting flange connection"
"EF025130";"Numeric";"Double-acting torque"
"EF025131";"Numeric";"Number of welding torches"
"EF025132";"Numeric";"Number of cutting torches"
"EF025133";"Numeric";"Diameter measuring head"
"EF025134";"Numeric";"Sling width"
"EF025135";"Numeric";"Sling length"
"EF025136";"Numeric";"Torque single acting start air"
"EF025137";"Numeric";"Torque single acting end spring"
"EF025138";"Logical";"Low noise"
"EF025140";"Logical";"With float"
"EF025142";"Alphanumeric";"Connection air exhaust"
"EF025143";"Numeric";"Diameter air exhaust"
"EF025144";"Logical";"For connection boiler to heat recovery unit"
"EF025145";"Logical";"With built-in leak detection"
"EF025146";"Logical";"With needle vent"
"EF025149";"Logical";"With hand pump"
"EF025150";"Logical";"With sampling probe"
"EF025151";"Numeric";"Length sampling hose"
"EF025152";"Alphanumeric";"Sensor class"
"EF025153";"Logical";"Filled"
"EF025154";"Alphanumeric";"Type of filling"
"EF025155";"Numeric";"Net weight"
"EF025156";"Logical";"With suspension bracket"
"EF025157";"Alphanumeric";"Min. die head size"
"EF025158";"Alphanumeric";"Max. die head size"
"EF025159";"Alphanumeric";"Suitable for min. pipe diameter"
"EF025160";"Logical";"Fibre rings"
"EF025161";"Logical";"Membranes"
"EF025162";"Logical";"O-rings"
"EF025163";"Numeric";"STAR number"
"EF025164";"Numeric";"Font height"
"EF025167";"Alphanumeric";"Type of bonnet"
"EF025168";"Logical";"Suitable for float-controlled trap"
"EF025169";"Logical";"Suitable for thermostatic steam trap"
"EF025170";"Logical";"Suitable for bell float-controlled trap"
"EF025171";"Logical";"Suitable for bimetal steam trap"
"EF025172";"Alphanumeric";"Material insert"
"EF025173";"Logical";"Single sided sealing"
"EF025174";"Alphanumeric";"Material valve"
"EF025175";"Alphanumeric";"Material electrode bar"
"EF025176";"Alphanumeric";"Material quality bellows"
"EF025177";"Alphanumeric";"Accessories radiator coupling"
"EF025178";"Logical";"Suitable for two-way control valve"
"EF025179";"Logical";"Suitable for three-way control valve"
"EF025181";"Alphanumeric";"Standard construction length"
"EF025182";"Alphanumeric";"Material bonnet"
"EF025184";"Alphanumeric";"Switch-on duration"
"EF025185";"Numeric";"Max. differential pressure light oil"
"EF025186";"Numeric";"Max. differential pressure air/gases"
"EF025187";"Numeric";"Max. differential pressure steam"
"EF025188";"Numeric";"Max. differential pressure water/liquids"
"EF025189";"Alphanumeric";"Emergency manual operation"
"EF025190";"Numeric";"Max. viscosity"
"EF025192";"Logical";"Creased"
"EF025193";"Logical";"Sintered"
"EF025194";"Logical";"Approved according to EN 331"
"EF025195";"Alphanumeric";"Material ball seal"
"EF025196";"Alphanumeric";"Material ball"
"EF025197";"Alphanumeric";"Material primary spindle seal"
"EF025198";"Alphanumeric";"Material secondary spindle seal"
"EF025199";"Alphanumeric";"Type of flow indicator"
"EF025200";"Logical";"Suitable for mounting manometer"
"EF025201";"Logical";"With humidity sensor"
"EF025202";"Alphanumeric";"Connection operation"
"EF025203";"Logical";"Spring closing (NC)"
"EF025204";"Logical";"Spring opening (NO)"
"EF025205";"Logical";"Flat seal"
"EF025206";"Logical";"According to regulations maritime inspection"
"EF025208";"Range";"For ship length"
"EF025209";"Numeric";"Max. diameter ingoing"
"EF025210";"Numeric";"Max. diameter outgoing"
"EF025212";"Logical";"Retaining its shape"
"EF025214";"Logical";"With pipe sleeve locking"
"EF025215";"Alphanumeric";"Colour inner pipe"
"EF025216";"Numeric";"Number of inner pipes"
"EF025217";"Numeric";"Diameter inner pipe"
"EF025218";"Logical";"Saddle piece pressed"
"EF025219";"Alphanumeric";"Sliding plate model"
"EF025221";"Logical";"In height-adjustable mounting points"
"EF025222";"Alphanumeric";"Symbol"
"EF025224";"Logical";"Fast drying"
"EF025227";"Logical";"Elastic"
"EF025228";"Logical";"Decorative"
"EF025229";"Alphanumeric";"Suitable for radiator with round/sharp top"
"EF025230";"Range";"Outer diameter inner pipes"
"EF025231";"Logical";"With guide"
"EF025233";"Logical";"With granule grain"
